date,open,high,low,close,volume
2020-03-24 04:15:00,57.4664640298,58.0410793469,57.2149156936,57.6563583621,127924
2020-03-24 04:30:00,57.6021028386,57.732809327,57.2395772952,57.2889004983,54812
2020-03-24 04:45:00,57.2765696975,57.609501319,57.1409308888,57.5848397174,29084
2020-03-24 05:00:00,57.5897720378,57.7081477254,57.5231857135,57.5922381979,17044
2020-03-24 05:15:00,57.7032154051,57.8067941318,57.7032154051,57.7574709286,37852
2020-03-24 05:30:00,57.77966637,57.7993956513,57.6834861238,57.6834861238,11708
2020-03-24 05:45:00,57.7081477254,58.0780717493,57.6588245222,58.0410793469,49136
2020-03-24 06:00:00,58.0287485461,58.1717858353,57.9448991007,58.1717858353,11572
2020-03-24 06:15:00,58.2013797572,58.4479957732,58.2013797572,58.4479957732,45020
2020-03-24 06:30:00,58.4479957732,58.6674840273,58.3000261636,58.4208680114,63800
2020-03-24 06:45:00,58.4159356911,58.6946117891,58.4085372106,58.5219805779,80124
2020-03-24 07:00:00,58.4726573748,58.4726573748,58.2013797572,58.3246877652,40596
2020-03-24 07:15:00,58.3246877652,58.4085372106,57.2149156936,57.5182533931,532104
2020-03-24 07:30:00,57.4615317095,57.685952284,57.251908096,57.6464937214,244216
2020-03-24 07:45:00,57.6588245222,57.826523413,57.0916076856,57.3875469047,377960
2020-03-24 08:00:00,57.4122085063,57.6637568425,57.3875469047,57.5799073971,312608
2020-03-24 08:15:00,58.2457706401,58.2457706401,57.251908096,57.4245393071,678136
2020-03-24 08:30:00,57.3431560218,57.4615317095,57.0250213613,57.3875469047,379400
2020-03-24 08:45:00,57.4245393071,57.5108549127,57.190254092,57.3382237015,265260
2020-03-24 09:00:00,57.3382237015,58.0904025501,57.2938328187,57.9054405381,696576
2020-03-24 09:15:00,57.8807789365,58.1397257533,57.7451401278,58.0879363899,594936
2020-03-24 09:30:00,58.0879363899,58.5565068202,58.0780717493,58.3912740895,740436
2020-03-24 09:45:00,58.290161523,58.662551707,57.7821325302,58.0410793469,24229996
2020-03-24 10:00:00,58.0361470266,58.6403562656,58.0361470266,58.3311737664,12907272
2020-03-24 10:15:00,58.3246877652,59.2026407819,58.1298611126,59.1903099811,14348484
2020-03-24 10:30:00,59.2026407819,60.0362029157,58.956024766,59.6164624566,16878584
2020-03-24 10:45:00,59.6169556886,59.8463085834,59.4665199189,59.7451960169,10209368
2020-03-24 11:00:00,59.7427298567,59.7895868998,59.3851859569,59.4838077016,8083460
2020-03-24 11:15:00,59.48378304,59.7449987241,58.9535586058,59.2853557936,9513452
2020-03-24 11:30:00,59.3111518289,59.4442504927,59.1286559771,59.3580088719,6214232
2020-03-24 11:45:00,59.3629411922,59.6321225736,59.1385206177,59.5700986456,7311248
2020-03-24 12:00:00,59.5750309659,59.7673914583,59.3111518289,59.7537289311,7334812
2020-03-24 12:15:00,59.7501283372,59.8216469818,59.4911815205,59.5410966021,5518608
2020-03-24 12:30:00,59.5405047237,59.824113142,59.5035123213,59.824113142,5646964
2020-03-24 12:45:00,59.8179477416,59.94742115,59.6723703074,59.8931656265,8082596
2020-03-24 13:00:00,59.8882333061,59.8882333061,59.2174377428,59.2445655046,7121732
2020-03-24 13:15:00,59.2494978249,59.5405047237,59.0004156488,59.3185503094,6757180
2020-03-24 13:30:00,59.3272311931,59.3678735125,58.9072934412,59.2160073699,6067116
2020-03-24 13:45:00,59.2149715827,59.4911815205,59.1459190982,59.2979825336,5276996
2020-03-24 14:00:00,59.2864902273,59.3974674345,58.7291380313,58.8277844377,5673384
2020-03-24 14:15:00,58.832716758,58.9584909261,58.3345770674,58.5269128983,6598268
2020-03-24 14:30:00,58.5293790584,59.1459190982,58.4899451575,59.0580004885,5867976
2020-03-24 14:45:00,59.0571373325,59.6835420129,58.8425813986,59.6243541691,8021968
2020-03-24 15:00:00,59.607091048,59.9276918687,59.2741594265,59.9005641069,8194048
2020-03-24 15:15:00,59.8980979468,60.2976158926,59.7057374544,60.1718170628,11275356
2020-03-24 15:30:00,60.1833340308,60.2211649276,59.8339777826,60.086759199,8376960
2020-03-24 15:45:00,60.0953907595,60.3716006973,59.9770150719,60.2877512519,10767472
2020-03-24 16:00:00,60.2803527715,61.0843209834,59.9572857906,60.8845620105,26479364
2020-03-24 16:15:00,60.8820958503,60.9733437762,59.3800563437,60.938817534,2897964
2020-03-24 16:30:00,60.9092236121,60.9141559324,60.7908479244,60.8031787252,212824
2020-03-24 16:45:00,60.7661863228,61.1607719483,60.7168631196,61.1607719483,550772
2020-03-24 17:00:00,61.0843209834,61.1509073077,60.9634791356,60.9671783758,525232
2020-03-24 17:15:00,60.9782760965,61.0547270614,60.6848030376,60.7341262407,132240
2020-03-24 17:30:00,60.7242616001,60.8081110455,60.6700060766,60.7661863228,65268
2020-03-24 17:45:00,60.7883817643,60.9141559324,60.7168631196,60.9141559324,131740
2020-03-24 18:00:00,60.9141559324,61.0843209834,60.8845620105,61.0843209834,248892
2020-03-24 18:15:00,61.0843209834,61.1361103467,60.7908479244,61.0497947411,174160
2020-03-24 18:30:00,61.0497947411,61.2840799563,61.0497947411,61.2840799563,103944
2020-03-24 18:45:00,61.2840799563,61.4073879642,61.1731027491,61.296410757,133876
2020-03-24 19:00:00,61.2840799563,61.3827263626,61.2347567531,61.2840799563,101248
2020-03-24 19:15:00,61.2717491555,61.3334031594,61.0128023387,61.0966517842,94196
2020-03-24 19:30:00,61.1188472256,61.2125613116,60.815509526,60.8352388073,100176
2020-03-24 19:45:00,60.815509526,60.8648327292,60.5935551117,60.5935551117,96440
